id,name
1ZD7suaqX3CSUh5BCxXz3lPvVlJ9YG89x,Class 43.0 - Places in the house.pdf
1BaYMZA-7wdkT8tHXvoxRkN-V-OX7SKLi,Class 44.0 - Simple Past.pdf
11e4VfeJrgALpLcHrhT0QVJL5CK2HyknL,Class 45.0 - Present Perfect.pdf
1ozBK0U8J9hlw0CXAkgnPbQskBQHdwBGp,Class 46.0 - Present Continuous.pdf
1u1DRnkanvTOkSmeexqnnxSfYCqP_f_tL,Class 47.0 - Past Continuous.pdf
1mQ3VDMKssisww8DCpeRgjndvQbETfgbz,Class 48.0 - Grammar Exercises II.pdf
1JUQeoWDJSwzRNw9cnfuxLjxKLY1I-OJ5,Class 49.0 - Future Will x Going To.pdf
1HY0MmwgTmwp4hAqEn2Fw0-DoefdnUUGV,Class 50.0 - Random Memes II.pdf
17kr8SRoe5KLAuKxV03LI9-0oDW9E1PKu,Class 51.0 - How does he look like.pdf
1NEPM0mzoLF_GuF1s0kgIEfm-rv_4afLD,Class 52.0 - Comparativos.pdf
1T1m9XFSiXf7zH4_vXVIWa02r_vRuI-Mr,Class 53.0 - Superlativos.pdf
1oZ-L1tYA9ioYuDl2Xh9aDLokbZaiFdd6,Class 54.0 - In The Kitchen.pdf
1hSYhLkS6_ucW7Rd1grSG7RJfmKklwh0K,Class 55.0 - In The Living Room.pdf
1U0-Qml9vkVDU5FjM-2wKLX9uOqLajzz8,Class 56.0 - How does she look like (Dialogue).pdf
1P17zoYDgI6wTMJxceHNOJ0yZlG89EuXj,Class 57.0 - In The Bathroom.pdf
1ozVp76PxKZaBnlF5-FzoT5uj0BgdH_vk,Class 58.0 - In The Bedroom.pdf
13jbvXxU1RAa1QQkc6eKEVp2Vv2J0SSaT,Class 59.0 - If You Come Back.pdf
13v3tMbgZSbpZaKhUn818vXwW82-hOLo5,Class 60.0 - Parts of the Body.pdf
1uOjBCsId5p_X6UKMIFb_OtORSUWC5KjN,Class 61.0 - Days of the Week.pdf
1_rhmiv3BdXJQlLDVwBOVlNL0LEpM9h3S,Class 62.0 - Making Arrangements.pdf
1fNUdlS8mFKtQxfM_0Cta3hO94jfPNi65,Class 63.0 - Cooking Verbs.pdf
172CJwY095c0u2yVwGtbUPiI8Ij1vqOTB,Class 64.0 - Let`s have a Lasagna.pdf
1okNYZxSV4e7RddYbMXc6DeO50AzxhNYx,Class 65.0 - How do you like this kind of movie.pdf
11Od3_t046z8mNZeXDU54nfj-2yRnbzu0,Class 66.0 - Movies (dialogue).pdf
1ROQRJXIYzdKMhA5KFTxbtfKKpR_Pge7Y,Class 67.0 - At the Clothing store.pdf
12TVJ3ySpopFzEvzaa7k9hsE03KWbybgy,Class 68.0 - All that i need (boyzone).pdf
1u169RmKYDLfQnm7Rwl3Bn9w8Ejg8NzZR,Class 69.0 - Random Memes III.pdf
1mDKaUNMWwCzRfT5T6cPt6XKUVar2-tYB,Class 70.0 - Makishima Talks About Books.pdf
1qEnc9AbJYWVVLZiNOgyfW6Fa1297Q4Kh,"Class 71.0 - Prepositions of time (In,On,At, etc).pdf"
1KRaBPXkeGjtxO0cK6gwXhS9CyFa6OBkL,Class 72.0 - Agree and Disagree.pdf
198bKPS3eqY1nX72qaRL9uKTMP8QUEcLg,Class 73.0 - Question Tags.pdf
1For_g0-wDR7SNmmr_cxK1qVIKc3IZzKk,Class 73.5 - Random Memes 04.pdf
1CEZkZhDt-mc26nWI_riMUiMAIWImnnjP,Class 74.0 - Passive Voice.pdf
1_08DGK9a7QVjX3vS4uoCjyf2viMQTmih,Class 75.0 - Willem Dafoe Interview.pdf
1Kr5H8njAMHNgYQqDs4ecSC1o20Plum4T,Class 76.0 - Cars Vocabulary.pdf
1WWcltKWQzHdg5K5ZDQdVVC3Oe4BK5_hO,Class 77.0 - Cars Situations.pdf
1Xs8AIcat2eWg4T6rleVhHELeR5Y1Od55,Class 78.0 - Frequency Adverbs.pdf
1EMCRjJmKWLJdrtXnsqVPt82fXuwroTuZ,Class 79.0 - Daily Routines Dialogue.pdf
1WVOSIrszygMSLUxMEYcgLBwSYsj-1h4E,Class 79.5 - Random Memes 05.pdf
1D_qnFek2UnLH1xM2aVQE8UPNEMGqfmvP,Class 80.0 - Restaurant Vocabulary and Dialogue.pdf
1uW-y6XEybWlBe4wrPJJaVcx9KidXrhXL,Class 81.0 - Bear Grylls Interview.pdf
1fCPQvOec4j-Pg8F20WPMtpYVmMwnD1rj,Class 82.0 - Means of transportation.pdf
1fvyvhqbzB0VCAghnl1GTX2gGkwa_M_P4,Class 83.0 - Hotel Check In.pdf
1LNI6w1TWz9wdXishy8AY7GKS9FgsUUsn,Class 84.0 - Hotel Problems.pdf
1bXmQb2zmhX5hREv6F9qPHfIYWv5RVX3g,Class 84.5 - You Make Me Wanna (Usher).pdf
1aR7DpOo2LtVoYAB9M6i6DmHCrxYqY3Kx,Class 85.0 - Hotel Checkout.pdf
1rjn0oPLyiC5dtUPTjulYUF9hQfOFroDy,Class 86.0 - Hotel Words And Expressions.pdf
12PAD-4RHy0q8r-POGrQYePx4wNgcDAwu,Class 87.0 - Donald Trump Interview.pdf
1AvhOEBLUJn5LCexsA96yiinuGR9hcUMV,Class 88.0 - Airplane Vocabulary.pdf
14JCOBZNww2-S4sY6QDZHmVuhk216MDMz,Class 89.0 - At the Airport.pdf
1TpIC7UM6l8IbMMI36B0bAktRIytWJB71,Class 90.0 - Possessives.pdf
1A-xZoNk3eYYkDHuyMmcqx1MaeMLPy_q2,Class 91.0 - Reflexive Pronouns.pdf
1eppzDZ3Sl86HMTok9K0zgJAusmNjnRnU,Class 91.5 - Somebody that i used to know.pdf
1A9kkZNHyf8eTX3iUCXAURJmug2Nmc7QA,Class 92.0 - TO DO X TO MAKE.pdf
13Ol65QfHmEN9z4JW7ARJ7jeQ6r8VSA29,Class 93.0 - To Make.pdf
1PTeMVgVjz2ZWyxgVDLBti2_ctHpUoyL1,Class 94.0 - To Do.pdf
1GSwWvmFckFtOSTVCTdIfFT5Y04P2tSW8,Class 94.5 - Just a dream (Nelly).pdf
1KRMYHIo4VZ4kTX2VNwfaNdXPqSr2QzOY,Class 95.0 - Vacation in Europe.pdf
1JGSTthGSiLtalu-4BQKmT722AWZXaf3Q,Class 96.0 - Plans for Holiday.pdf
1w1IfYdV6LOwsFqCSwhnivGavp0TK9wl1,Class 97.0 - At the Real Estate Agency.pdf
1BnJmDhV6dNyqfRn4KmA55cUy4Fg2nM2g,Class 98.0 - To Remember Me.pdf
1lgx1zQouqppQBDZd0KwraoVQsQRMg7ui,Class 99.0 - Optimum Tech.pdf
1-AdBB30ljZobCTHI0XLEkjdVNWQp6OZo,Class 100.0 - To Take Expressions.pdf
1AQIrdXaPrLgxAwNAcg3RCI7cDSalv3Ka,Class 102.0 - To Get Expressions.pdf
1FGgepaisyUGNmMPKwqafHy7r5VjZTZ2h,Class 104.0 - To Look.pdf
1NUq1sNa00YbpfEmcsfZLYx0NoO5lynCn,Class 106.0 - To Look Expressions.pdf
1GZ9d_BHEr1XcUrVRAyGrhVWVG1Y8gIFD,Class 108.0 - Irregular Verbs (A - B).pdf
1iPodE6kBPD_Y_Y6aVUOfvQ25UPNnInMa,Class 109.0 - Irregular Verbs (C - D - E).pdf
1b_b2BbhG1ZfEO6HCHpPlaFFMbqnzJx4r,Class 110.0 - Irregular Verbs (F - G).pdf
1p0VhXynprbKY7oVq3MtcqfqYl2-6KYKI,Class 111.0 - Irregular Verbs (H - K - L - M).pdf
1ss03sTkbexhd29C6_ryX814cN_wus8B_,Class 112.0 - Irregular Verbs (O - P - Q - R).pdf
14VpmPVy7fubGuyvgjGT44b03ZY5C4Aht,Class 113.0 - Irregular Verbs (S).pdf
15lJG2zrbNoFiV-W0mLYCujzE2YwwweA4,Class 114.0 - Irregular Verbs (T - W).pdf
